INSTANCE       METHOD         PARAM     OBJECTIVE           RUNTIME                  GAP                 NODES     ARCS
a280.tsp       GRASP-15-0.5   15-0.5    2724.1479608020904  13407.873700099997       5.628071376583577   280       39060
berlin52.tsp   GRASP-15-0.5:  15-0.5    7544.365901904088   14.079250100068748       0.03136968846576342 52        1326
ch130.tsp      GRASP-15-0.5   15-0.5    6261.192987241838   990.5622559001204        2.4745169761348236  130       8385
ch150.tsp      GRASP-15-0.5   15-0.5    6743.328404030575   1707.8906696999911       3.298535600958567   150       11175
d198.tsp       GRASP-15-0.5   15-0.5    16192.250260033012  4416.366219900083        2.6124858050254227  198       19503
eil101.tsp     GRASP-15-0.5   15-0.5    665.5392653232121   142.46091210003942       5.809104184930387   101       5050
eil51.tsp      GRASP-15-0.5   15-0.5    429.92962206959186  11.124443400185555       0.9224464952093564  51        1275
eil76.tsp      GRASP-15-0.5   15-0.5    559.9991328789564   42.669171900022775       4.089058155939852   76        2850
kroA100.tsp    GRASP-15-0.5   15-0.5    21831.20746949119   147.78867419995368       2.58061962922277    100       4950
kroB100.tsp    GRASP-15-0.5   15-0.5    22537.639636732667  147.19550130004063       1.791426027427248   100       4950
kroC100.tsp    GRASP-15-0.5   15-0.5    20904.173431808198  148.3807520000264        0.7478598091869395  100       4950
kroD100.tsp    GRASP-15-0.5   15-0.5    21972.053451070937  143.50885370001197       3.1842465063911742  100       4950
kroE100.tsp    GRASP-15-0.5   15-0.5    22399.610573514026  145.56756710004993       1.5026761533171393  100       4950
lin105.tsp     GRASP-15-0.5   15-0.5    14568.994678937386  188.10390210011974       1.3213344386771417  105       5460
pr76.tsp       GRASP-15-0.5   15-0.5    108757.62895096747  71.03432379988953        0.553471233061944   76        2850
rat99.tsp      GRASP-15-0.5   15-0.5    1279.0790075741675  130.94476440013386       5.621718214216966   99        4851
rd100.tsp      GRASP-15-0.5   15-0.5    8177.065234490545   144.6828053998761        3.376298792547974   100       4950
rd400.tsp      GRASP-15-0.5   15-0.5    16055.995446863484  56058.11728559993        5.071627817966653   400       79800
st70.tsp       GRASP-15-0.5   15-0.5    678.5095052556319   44.19731059996411        0.5199267045380582  70        2415
ts225.tsp      GRASP-15-0.5   15-0.5    128572.0035429037   6477.7205825999845       1.5231821284269123  225       25200

